Item_ID,Item_Name,Category,Warehouse,Stock_Quantity,Unit_Price,Reorder_Level,Last_Restocked_Date,Supplier_Code
INV0156,Bracket,Furniture,WH-Central,286,105.24,43,2026/04/01,SUP-Alpha
INV0089,Desk,Electronics,WH-Central,N/A,106.41,37,2026-01-04,SUP-Delta
INV0061,Drill,Furniture,WH-South,471,373.4,13,26/07/2026,SUP-Epsilon
INV0020,Cable,Electronics,WH-Central,477,35.33,41,27/09/2026,SUP-Epsilon
INV0209,Puzzle,Toys,WH-South,,117.27,93,2026-01-11,SUP-Gamma
INV0196,Rice Bag,Electronics,WH-North,zero,69.43,22,22-03-2026,SUP-Epsilon
INV0128,Pen Set,Toys,WH-North,291,181.9,54,25/09/2026,SUP-Epsilon
INV0027,Bracket,Toys,WH-Central,431,469.68,38,09-01-2026,SUP-Epsilon
INV0180,Sensor,Tools,WH-South,169,479.27,56,2026-11-06,
INV0214,Rice Bag,Apparel,WH-East,89,,62,18-04-2026,SUP-Delta
INV0176,Rice Bag,Apparel,WH-West,404,351.12,81,2026/02/03,SUP-Gamma
INV0008,T-Shirt,Apparel,WH-West,239,485.57,6,04/11/2026,SUP-Gamma
INV0047,Pen Set,Grocery,WH-East,381,176.55,44,2026/12/04,SUP-Gamma
INV0009,T-Shirt,Furniture,WH-East,390,456.4,43,2026/10/17,SUP-Beta
INV0146,Drill,Electronics,WH-West,232,-42.13,76,26-05-2026,SUP-Delta
INV0101,Panel,Apparel,WH-South,354,404.71,61,not-a-date,SUP-Gamma
INV0147,Widget,Tools,WH-North,,32.82,13,16/01/2026,SUP-Delta
INV0210,Action Figure,Furniture,WH-North,72,47.42,71,12-08-2026,SUP-Epsilon
INV0203,Adapter,Electronics,WH-West,-40,155.34,99,2026/12/01,SUP-Alpha
INV0033,Adapter,Furniture,WH-Central,285,424.32,64,18/10/2026,SUP-Delta
INV0076,Chair,Electronics,WH-South,486,181.98,52,21-06-2026,SUP-Delta
INV0079,Widget,Furnture,WH-South,8,27.15,72,2026-08-03,SUP-Gamma
INV0097,Hammer,Grocery,WH-Central,74435,194.32,91,26/11/2026,SUP-Alpha
INV0175,Desk,Toys,WH-West,71,121.77,96,2026-02-13,SUP-Epsilon
INV0187,Pen Set,Apparel,WH-North,225,494.9,88,2026-01-10,SUP-Gamma
INV0058,Notebook,Electronics,WH-West,422,329.17,57,not-a-date,SUP-Epsilon
INV0092,Rice Bag,Apparel,WH-East,113,84.9,19,07/06/2026,SUP-Beta
INV0152,Gadget,Furniture,WH-East,469,160.13,91,2026/05/08,SUP-Epsilon
INV0144,Desk,Stationery,WH-South,244,374.12,58,2026/09/16,SUP-Beta
INV0207,T-Shirt,Tools,WH-North,61,451.07,71,2026-02-13,SUP-Gamma
INV0082,Action Figure,Stationery,WH-Central,406,426.54,75,2026-07-07,SUP-Beta
INV0167,Bracket,Apparel,WH-East,unknown,38.93,83,13-06-2026,SUP-Gamma
INV0125,Pen Set,Apparel,WH-East,62,124.71,42,2026-10-28,SUP-Beta
INV0164,Gadget,Electronics,WH-West,28,351.72,60,11-10-2026,SUP-Epsilon
INV0112,Gadget,Toys,WH-East,-24,200.61,54,2026-08-06,SUP-Gamma
INV0041,Cable,Toys,WH-East,five,288.32,53,23-04-2026,SUP-Epsilon
INV0035,Bracket,Tools,WH-East,457,70.05,93,2026-02-07,SUP-Delta
INV0202,Bracket,Apparel,WH-South,200,381.85,87,not-a-date,SUP-Delta
INV0078,Puzzle,Furniture,WH-South,75,298.39,23,2026/05/18,SUP-Alpha
INV0087,Rice Bag,Electronics,WH-North,ten,227.37,44,25-10-2026,SUP-Alpha
INV0026,Cable,Grocery,WH-West,418,175.48,34,2026-04-22,SUP-Gamma
INV0198,Cable,Apparel,WH-East,161,124.65,36,20/12/2026,SUP-Alpha
INV0102,Adapter,Grocery,WH-West,122,404.5,29,2026-08-19,SUP-Gamma
INV0170,Hammer,Apparel,WH-West,five,47.44,46,2026-05-01,SUP-Delta
INV0197,Sensor,Grocery,WH-South,77,308.42,32,31/02/2026,SUP-Alpha
INV0096,Casing,Stationery,WH-Central,54054,405.67,96,31/02/2026,SUP-Beta
INV0019,Action Figure,Stationery,WH-South,160,198.5,43,25-02-2026,SUP-Delta
INV0094,Notebook,Toys,WH-East,54475,316.06,80,not-a-date,SUP-Epsilon
INV0212,Adapter,Electronics,WH-South,299,$59,64,04/09/2026,SUP-Beta
INV0029,Notebook,Apparel,WH-North,153,333.78,94,2026-04-05,SUP-Delta
INV0091,Rice Bag,Tools,WH-East,-2,86.76,63,2026-02-12,SUP-Alpha
INV0181,Casing,Grocery,WH-West,,139.89,13,2026/09/26,SUP-Gamma
INV0151,Widget,Furniture,WH-North,228,351.94,,2026/08/13,SUP-Epsilon
INV0038,Panel,Apparel,WH-West,339,,22,06/01/2026,SUP-Delta
INV0213,Hammer,Stationery,WH-North,94961,352.65,32,11-03-2026,SUP-Beta
INV0016,Adapter,Furniture,WH-West,205,83.15,,26/08/2026,SUP-Delta
INV0083,Hammer,Grocery,WH-North,160,187.78,65,not-a-date,SUP-Alpha
INV0046,Bracket,Furniture,WH-West,123,323.31,7,2026/07/08,SUP-Gamma
INV0184,Puzzle,Tools,WH-South,250,94.36,84,not-a-date,SUP-Gamma
INV0088,Gadget,Tools,WH-West,248,207.68,70,14/02/2026,SUP-Epsilon
INV0034,Action Figure,Grocery,WH-Central,81,237.86,36,2026-09-09,SUP-Beta
INV0052,Gadget,Apparel,WH-North,106,133.06,35,03-03-2026,SUP-Delta
INV0158,Hammer,Electronics,WH-West,163,185.98,77,24-03-2026,SUP-Gamma
INV0085,Pen Set,Electronics,WH-South,81600,55.0,52,2026/10/09,SUP-Delta
INV0001,Cable,Electronics,WH-South,377,$384,16,02-01-2026,SUP-Beta
INV0123,Widget,Electronis,WH-Central,107,208.88,68,18/05/2026,SUP-Delta
INV0135,Adapter,Stationery,WH-South,152,352.75,67,12/09/2026,SUP-Gamma
INV0006,Gadget,Furniture,WH-East,33,471.51,45,2026-07-16,SUP-Beta
INV0057,T-Shirt,Stationery,WH-North,168,248.24,56,2026-01-18,SUP-Alpha
INV0155,Panel,Grocery,WH-South,40,423.72,97,2026-05-02,SUP-Epsilon
INV0060,Widget,Apparel,WH-South,467,"2924,82",68,10/09/2026,SUP-Delta
INV0015,Casing,Apparel,WH-West,236,461.71,75,21-09-2026,SUP-Alpha
INV0024,T-Shirt,Furnture,WH-East,407,20.91,92,2026-06-04,SUP-Epsilon
INV0010,Sensor,Apparel,WH-Central,306,10.72,44,08-10-2026,SUP-Alpha
INV0126,Sensor,Toys,WH-Central,97,249.63,68,16-01-2026,SUP-Delta
INV0045,Rice Bag,Stationery,WH-East,108,129.92,81,09-09-2026,SUP-Epsilon
INV0080,Cable,Grocery,WH-Central,,433.62,63,2026-01-01,SUP-Delta
INV0139,Gadget,Toys,WH-Central,378,468.4,27,27-03-2026,SUP-Delta
INV0127,Adapter,Furniture,WH-North,unknown,421.58,41,2026-02-28,SUP-Beta
INV0208,Desk,Stationery,WH-West,,282.34,84,2026-10-12,SUP-Beta
INV0215,Panel,Electronis,WH-South,-26,315.52,79,27-02-2026,SUP-Alpha
INV0049,Desk,Electronics,WH-South,498,N/A,21,25-08-2026,SUP-Alpha
INV0146,Drill,Electronics,WH-West,232,-42.13,76,26-05-2026,SUP-Delta
INV0037,T-Shirt,Apparel,WH-Central,459,110.49,8,2026-11-22,SUP-Beta
INV0145,Bracket,Apparel,WH-East,TBD,"9972,64",73,2026-09-11,SUP-Alpha
