Customer_ID,Age,Salary,Department,Sales,Purchase_Date
C055,33,80385,Marketing,27562,2026-03-08
C056,43,58896,IT,19448,25/04/2026
C057,35,65807,HR,27133,01/27/2026
C058,51,75898,Marketing,5125,22-02-2026
C059,43,87405,IT,48292,2026/05/03
C060,150,86269,HR,36328,2026-01-31
C061,48,86716,Finance,10685,15/02/2026
C062,50,61305,IT,15410,04/12/2026
C063,29,36805,HR,43719,13-02-2026
C064,30,75080,Marketing,36087,2026/04/30
C065,43,45217,Marketing,40932,2026-06-18
C066,22,35933,IT,39510,03/02/2026
C067,48,-5000,HR,18830,02/05/2026
C068,37,48944,Finance,37844,08-01-2026
C069,58,56364,Finance,40674,2026/03/03
C070,29,38991,Finance,35026,2026-04-18
C071,58,88414,Marketing,32566,19/06/2026
C072,29,69853,HR,39308,05/09/2026
C073,22,92200,Sales,17000,11-05-2026
C074,21,85858,HR,-12000,2026/06/05
C075,51,75573,IT,41469,2026-02-06
C076,41,79717,Marketing,39781,16/01/2026
C077,51,86398,IT,41719,05/23/2026
C078,36,47537,Finance,7765,15-01-2026
C079,53,64633,Marketing,6826,2026/01/26
C080,49,56339,Marketing,38131,2026-01-17
C081,53,48068,ITTT,34644,05/06/2026
C082,55,87911,Sales,38276,05/11/2026
C083,54,92444,Finance,41668,05-03-2026
C084,49,43987,Sales,12970,2026/02/21
C085,49,55708,IT,48984,2026-04-11
C086,48,39792,HR,48874,03/03/2026
C087,28,93787,HR,47169,03/19/2026
C088,,44370,Finance,13995,19-06-2026
C089,35,83934,IT,31100,2026/04/30
C090,31,78767,HR,15581,2026-05-05
C091,48,68790,Sales,27224,30/06/2026
C092,33,58371,Finance,11042,04/18/2026
C093,22,57149,Marketing,35059,04-04-2026
C094,22,60188,Finance,38910,2026/04/23
C095,39,45000,IT,12395,2026-06-09
C096,27,40509,Finance,22820,28/02/2026
C097,32,52723,HR,32672,01/11/2026
C098,37,61604,HR,40166,23-06-2026
C099,57,67414,Finance,10862,2026/05/12
C100,24,87401,HR,32873,2026-03-13
C101,38,36103,IT,22075,19/01/2026
C102,59,91113,HR,not_recorded,01/22/2026
C103,28,64738,IT,27226,09-03-2026
C104,47,94993,Finance,45743,2026/05/22
C105,23,69531,HR,12173,2026-02-03
C106,37,38301,HR,18223,11/02/2026
C107,40,69805,HR,24002,03/21/2026
C108,53,79050,HR,22728,25-04-2026
C109,22,51413,IT,6005,2026/99/99
C110,53,71113,HR,38700,2026-01-05
C111,36,64298,IT,48143,02/05/2026
C112,48,78025,Sales,40776,06/16/2026
C113,53,55170,HR,20044,11-04-2026
C114,33,89544,HR,31522,2026/03/29
C115,24,89852,HR,5934,2026-03-30
C116,5,63229,HR,8630,19/01/2026
C117,45,92051,Marketing,48944,01/22/2026
C118,59,50873,Finance,7964,14-03-2026
C119,32,45324,Finance,34217,2026/04/28
C120,37,58864,Finance,40853,2026-01-01
C121,36,37257,Finance,19278,24/03/2026
C122,32,35070,Finance,30010,04/02/2026
C123,51,75000,Marketing,47992,22-01-2026
C124,36,68078,IT,10954,2026/02/21
C125,26,44428,Sales,43456,2026-03-09
C126,46,36474,Finance,24938,11/01/2026
C127,35,40536,Marketing,39680,06/11/2026
C128,59,60527,Finance,37387,09-02-2026
C129,39,82458,Marketing,47154,2026/02/08
C130,23,89057,Marketing,"25,000",2026-02-07
C131,53,44129,Marketing,38054,20/04/2026
C132,22,89159,Marketing,49754,05/26/2026
C133,35,40576,IT,7743,27-06-2026
C134,44,41875,Sales,34582,2026/02/04
C135,24,76141,IT,46040,2026-05-23
C136,36,67066,Finance,5217,17/05/2026
C137,25,84038,,40074,04/27/2026
C138,54,39328,Sales,21527,24-01-2026
C139,37,50386,HR,20121,2026/01/20
C140,50,67371,Sales,10029,2026-06-16
C141,39,85264,IT,45434,03/05/2026
C142,33,40077,Marketing,14661,06/11/2026
C143,37,77698,Finance,45707,26-03-2026
C144,29,35817,Sales,8975,
C145,38,79040,IT,19266,2026-05-05
C146,52,54061,Marketing,23713,22/06/2026
C147,50,65562,IT,40984,04/29/2026
C148,40,40626,Sales,6147,21-02-2026
C149,50,40011,Marketing,34455,2026/03/16
C100,45,48751,HR,9889,2026-03-10
C151,thirty,44289,Marketing,22157,29/05/2026
C152,29,74542,Marketing,23321,04/03/2026
C153,44,50163,Sales,36859,29-01-2026
C154,22,45424,IT,37223,2026/04/11
C155,49,61569,Finance,14221,2026-06-24
C156,43,59648,Finance,12923,17/04/2026
C157,21,56269,Finance,31100,03/26/2026
C158,33,,IT,23994,31-01-2026
C159,44,39258,Sales,30569,2026/03/06
C160,25,58639,Sales,23032,2026-05-31
C161,38,41665,IT,48383,13/01/2026
C162,30,51339,Finance,33589,03/15/2026
C163,41,47441,Finance,33032,11-05-2026
C164,46,94862,Marketing,40994,2026/01/08
C165,26,38242,Sales,unknown,2026-02-22
C166,29,77237,Finance,36822,07/06/2026
C167,56,43343,HR,35945,01/13/2026
C168,42,53464,Finance,21760,17-04-2026
C169,37,61621,HR,24715,2026/06/17
C170,56,78835,Sales,12847,2026-05-04
C171,31,39926,HR,37807,12/02/2026
C172,999,49419,Sales,26812,05/08/2026
C173,48,44148,Marketing,17609,26-04-2026
C174,26,46448,Finance,41429,2026/03/04
C175,41,50671,Finance,21931,2026-01-24
C176,33,93146,IT,32052,26/05/2026
C177,47,83879,Marketing,18762,04/09/2026
C178,38,57164,IT,37646,07-04-2026
C179,57,58602,Unknown,37990,2026/03/13
C180,34,41068,Finance,21282,2026-05-16
C181,46,77322,Sales,33300,09/04/2026
C182,22,43339,IT,32865,03/21/2026
C183,58,67101,IT,9793,02-05-2026
C184,54,91063,Sales,34422,2026/04/11
C185,27,49666,HR,14965,2026-03-05
C186,27,89093,Sales,10570,15-99-2026
C187,23,35089,HR,20242,05/22/2026
C188,23,77303,Finance,13386,26-05-2026
C189,37,69619,Sales,12348,2026/06/10
C190,25,54683,Marketing,43200,2026-01-26
C191,45,52097,HR,44391,19/02/2026
C192,21,70224,Finance,35191,01/01/2026
C193,41,0,HR,36149,13-03-2026
C194,36,70848,HR,6918,2026/05/15
C195,40,38624,IT,17721,2026-04-16
C196,47,40314,Finance,19931,08/05/2026
C197,48,59262,HR,37305,06/20/2026
C198,42,82076,Sales,28744,09-01-2026
C199,46,47981,IT,24143,2026/06/24
C100,25,48449,Sales,0,2026-05-10
