Customer_ID,Age,Salary,Department,Sales,Purchase_Date
CU0011,53,46476,Sales,3752,22/12/2026
CU0241,55,40935,Marketing,21929,05-03-2026
CU0153,40,73767,Finance,7255,18-09-2026
CU0151,31,62705,Sales,28361,18-02-2026
CU0103,35,68591,Finance,-4034,06/05/2026
CU0245,47,36711,HR,22510,2026/01/28
CU0230,60,89926,IT,10167,25-04-2026
CU0209,60,45167,IT,12897,2026/04/01
CU0051,45,68790,,46450,2026/02/01
CU0008,45,47546,IT,16826,19-12-2026
CU0006,49,71660,Finance,TBD,2026-06-12
CU0028,48,84640,Sales,"22,825",20/11/2026
CU0182,38,87458,IT,3607,10/10/2026
CU0112,21,69911,Finance,4897,06-05-2026
CU0009,28,46162,Sales,38322,2026/12/09
CU0128,25,68190,HR,25925,2026/11/10
CU0157,31,80317,HR,31352,17/01/2026
CU0150,48,92182,Finance,27380,2026-02-15
CU0144,22,50682,Finance,36776,2026/09/13
CU0061,35,75259,Marketing,45329,2026/08/23
CU0163,38,91956,Marketing,43329,2026-04-14
CU0244,55,63476,IT,40533,04-05-2026
CU0178,54,47768,Sales,48624,09/03/2026
CU0070,49,34664,HR,20337,2026-11-26
CU0111,55,54088,IT,21256,2026/04/19
CU0054,56,92112,HR,"33,476",23-05-2026
CU0135,27,48681,IT,13506,2026-08-09
CU0120,30,35005,Sales,44499,2026-09-04
CU0017,57,-66301,HR,,08/01/2026
CU0214,41,67083,IT,37613,2026-04-02
CU0047,40,88525,Sales,8280,2026-03-05
CU0002,33,45247,Sales,42453,2026-09-01
CU0068,47,50013,Sales,43699,02/10/2026
CU0010,25,79530,IT,10185,2026-11-05
CU0165,23,,Marketing,42158,2026/11/27
CU0082,,94276,HR,40473,2026/04/13
CU0121,35,36737,HR,19775,2026-03-07
CU0122,56,79799,Sales,-32419,22-10-2026
CU0015,54,80189,HR,11414,2026-08-22
CU0050,37,58562,Marketing,4902,2026/06/13
CU0159,57,40105,HR,,not-a-date
CU0218,45,93499,Finance,4941,2026/05/21
CU0239,39,90206,Sales,41677,2026-11-03
CU0115,37,44127,Sales,10459,
CU0129,41,83292,HR,46916,23/12/2026
CU0134,32,82511,Sales,"12,070",28/05/2026
CU0249,45,N/A,HR,40842,2026/05/21
CU0076,20,73100,Sales,33276,2026-01-14
CU0101,35,94803,HR,40000,2026-02-07
CU0049,44,61259,IT,26052,2026/07/10
CU0131,41,87435,Sales,11588,2026-07-20
CU0053,34,,IT,45713,2026-01-02
CU0237,24,67837,IT,38185,06-06-2026
CU0007,35,40708,Marketing,27867,not-a-date
CU0247,42,64883,Finance,42115,18-03-2026
CU0139,59,59957,IT,10265,not-a-date
CU0208,31,N/A,Sales,-45061,2026-13-05
CU0248,26,38885,Marketing,6885,2026-11-09
CU0064,58,,IT,15721,10-04-2026
CU0146,53,47479,IT,30820,2026-07-03
CU0205,52,87855,Marketing,33540,2026-13-05
CU0195,34,46220,Marketing,25685,2026-05-05
CU0154,43,,HR,10953,2026-03-07
CU0206,29,31062,Finance,39261,2026/10/19
CU0226,60,62178,Sales,18887,11-07-2026
CU0164,52,60593,Marketing,23220,16/01/2026
CU0232,43,,Marketing,47535,2026-12-19
CU0170,52,64887,Marketing,39891,10/08/2026
CU0056,26,75691,Finance,47843,20/02/2026
CU0192,24,65465,IT,7523,16-01-2026
CU0106,29,34304,HR,21023,20-11-2026
CU0039,32,53869,Marketing,7585,22-06-2026
CU0189,53,76122,Finance,8118,19/02/2026
CU0090,26,45545,Marketing,40481,12-10-2026
CU0223,30,58486,Finance,30597,10/08/2026
CU0204,58,76122,HR,28993,08-09-2026
CU0179,4,,IT,9566,2026/06/14
CU0242,32,83425,Marketing,39803,2026/11/17
CU0136,21,N/A,IT,28982,2026-06-17
CU0018,52,45597,Finance,46842,2026-04-16
CU0037,,51702,IT,10559,09-03-2026
CU0035,30,81601,IT,28070,2026/01/28
CU0098,54,38890,Marketing,32729,2026/11/12
CU0036,34,-44609,IT,46255,07-07-2026
CU0077,37,65993,HR,21876,2026/12/15
CU0095,45,93390,Sales,26971,03/07/2026
CU0081,57,68005,Marketing,12738,2026/09/15
CU0169,58,88532,Sales,12160,11-10-2026
CU0027,56,36552,IT,38234,07-09-2026
CU0023,55,73376,Marketing,13144,2026-05-07
CU0099,59,56746,Finance,TBD,2026-06-23
CU0059,49,67345,Sales,46790,13/06/2026
CU0019,46,42478,IT,9352,22-07-2026
CU0188,46,76002,Sales,33856,2026-09-25
CU0199,31,71025,Marketing,39428,16-01-2026
CU0109,55,33930,Sales,39804,18/06/2026
CU0031,48,66154,Marketing,,01/02/2026
CU0238,40,69123,Marketing,43062,13/10/2026
CU0198,40,45525,Finance,12388,2026-09-22
CU0003,20,79729,HR,N/A,14-06-2026
CU0114,56,69074,IT,6447,05/03/2026
CU0236,47,55924,IT,43246,2026/08/07
CU0133,35,50281,Marketing,15715,2026/11/12
CU0058,54,80766,Marketing,33465,14-12-2026
CU0152,51,43118,IT,11895,2026/02/28
CU0217,4,81806,IT,35819,24/06/2026
CU0020,26,33972,Marketing,25236,2026-02-26
CU0123,39,82188,,41759,02/06/2026
CU0092,33,74417,HR,44172,04/11/2026
CU0221,52,56741,IT,,03/06/2026
CU0025,56,46135,Sales,41962,02/10/2026
CU0181,22,89849,HR,30386,27/03/2026
CU0218,47,93499,Finance,4941,2026/05/21
CU0211,47,82833,HR,10013,2026-09-04
CU0225,58,38921,Finance,24015,2026-12-20
CU0060,37,87692,Sales,48952,09/09/2026
CU0194,45,64658,HR,17594,27/01/2026
CU0180,50,N/A,HR,21824,11/05/2026
CU0186,20,47141,Finance,48401,08/01/2026
CU0079,52,76229,Finance,30229,2026/08/27
CU0231,41,93289,Marketing,9943,01-02-2026
CU0102,58,30185,Finance,12482,05-09-2026
CU0014,21,37331,Finance,23153,2026-01-08
CU0043,50,70060,IT,32846,2026-11-14
CU0216,45,90874,IT,22613,2026-10-06
CU0171,60,31746,Sales,34102,2026-11-09
CU0096,,83897,Finance,10100,2026/04/22
CU0022,33,86665,Marketing,6842,06/07/2026
CU0065,55,49145,HR,44803,28/08/2026
CU0093,38,51411,Marketing,14510,07-03-2026
CU0168,,43045,Sales,36365,13/09/2026
CU0024,57,-61246,Sales,37807,06/01/2026
CU0071,24,33908,HR,23159,20-12-2026
CU0224,49,37010,HR,22966,01-07-2026
CU0078,55,30896,Sales,29738,03/04/2026
CU0167,55,48331,Sales,47590,2026-02-20
CU0243,56,32022,HR,22142,2026-05-02
CU0177,42,92561,HR,22035,02/05/2026
CU0052,40,52118,Marketing,-21235,25-07-2026
CU0110,23,93464,Finance,42348,10/06/2026
CU0001,60,37296,IT,pending,31/02/2026
CU0117,twenty-one,54917,Sales,pending,17-09-2026
CU0113,24,39297,IT,9013,2026-09-24
CU0041,45,65909,IT,22914,2026/04/10
CU0220,43,36982,IT,3340,10-08-2026
CU0032,55,39705,Marketing,11352,02-05-2026
CU0005,43,67837,HR,7558,2026-11-02
CU0118,56,56504,Marketing,21973,04/07/2026
CU0215,37,88937,Sales,39930,2026-01-22
CU0201,23,66856,Marketing,pending,2026-09-18
CU0161,45,49492,Marketing,7782,2026-01-23
CU0026,40,45642,Finance,,05-11-2026
CU0012,47,40365,Marketing,"3,212",24-12-2026
CU0013,60,63270,Sales,,2026-06-05
CU0196,21,45772,HR,7409,
CU0175,50,42600,HR,21284,2026-05-18
CU0229,58,61407,Sales,29267,2026/09/18
CU0088,57,,HR,33221,2026/05/21
CU0202,25,65103,HR,6377,09/07/2026
CU0125,29,92765,IT,32525,04/06/2026
CU0219,4,35616,Sales,22357,26/04/2026
CU0145,41,47905,IT,27118,2026/07/14
CU0034,31,87764,Marketing,4624,06-12-2026
CU0148,60,94227,IT,7917,2026/11/22
CU0141,52,66316,IT,,28/08/2026
CU0087,43,N/A,HR,19003,2026-07-17
CU0073,56,68477,IT,47058,27/05/2026
CU0213,twenty-one,36127,Marketing,27855,2026/09/13
CU0083,29,62461,IT,11273,17-10-2026
CU0069,31,66175,Markting,13258,2026/07/01
CU0127,24,51606,IT,39566,22-07-2026
CU0055,39,37084,Sales,4682,2026/10/10
CU0212,25,54448,Marketing,33080,2026-04-19
